planner,scenario,query_id,run,seed,success,planning_time_s,solve_time_s,error,num_waypoints,joint_path_length,cartesian_path_length,smoothness_geom,smoothness_jerk,clearance,path_valid
curobo,cluttered,0,0,42,True,0.054142633991432376,0.04222226142883301,,53,3.6316159358402804,1.3670044480933925,0.9783136890424955,324.1157928038152,0.11250000000000002,True
curobo,cluttered,0,1,42,True,0.053784240008099005,0.04223465919494629,,53,3.6311278435746006,1.34989666527024,2.152589517923162,333.9162315905729,0.11250000000000002,True
curobo,cluttered,0,2,42,True,0.05565184200531803,0.04410505294799805,,53,3.6311278435746006,1.34989666527024,2.152589517923162,333.9162315905729,0.11250000000000002,True
curobo,cluttered,10,0,42,True,0.054801535996375605,0.04340863227844238,,65,3.663584061780019,0.6626864649709514,1.2396535705316398,520.879889966999,0.10170040993408819,True
curobo,cluttered,10,1,42,True,0.05463635300111491,0.04333853721618652,,65,3.6606662684024043,0.6841557655047588,0.9754399429153642,530.1151932714652,0.09689332337706308,True
curobo,cluttered,10,2,42,True,0.055309174000285566,0.04409933090209961,,65,3.8768053329388548,0.8259508689077483,1.539505119399194,541.8098809478082,0.11250000000000002,True
curobo,cluttered,11,0,42,True,0.05698819400276989,0.04564642906188965,,55,3.0286467201199883,1.2493279523479555,4.893127524940413,196.26244972192828,0.11250000000000002,True
curobo,cluttered,11,1,42,True,0.055358654994051903,0.04412984848022461,,52,3.0298907957157266,1.2671179567201307,1.0665556242994252,227.55610114964796,0.11250000000000002,True
curobo,cluttered,11,2,42,True,0.05551350499445107,0.044189453125,,54,3.0279742490694965,1.2609119665442323,1.1992958489513867,195.6265035793802,0.11250000000000002,True
curobo,cluttered,12,0,42,True,0.05405042400525417,0.04270482063293457,,67,4.305644561427158,0.8311698480132822,0.38544932303046237,590.3555876789811,0.04373416352917349,True
curobo,cluttered,12,1,42,True,0.0543319819989847,0.04273366928100586,,66,4.308921508437418,0.8252303932202106,0.7291105633163809,628.4681376285623,0.014681499330037248,True
curobo,cluttered,12,2,42,True,0.056779046994051896,0.044564247131347656,,66,3.9167037829736637,0.7365160904273695,5.700398522627498,705.5702855810115,0.09297402169299346,True
curobo,cluttered,13,0,42,True,0.054558937990805134,0.04304027557373047,,95,6.414011231161725,1.3564616057893075,1.9448189159403884,4730.744792099919,0.0006499958463361821,True
curobo,cluttered,13,1,42,True,0.055764427001122385,0.04432487487792969,,88,5.769853132394807,0.8737516200698089,2.906144163643135,2369.687053959639,0.0006500382843777214,True
curobo,cluttered,13,2,42,True,0.05517970200162381,0.043915748596191406,,95,6.704102235767855,1.3824347022822103,1.8626038364096449,5442.703201307565,-0.024697644978291508,False
curobo,cluttered,14,0,42,False,0.00785940200148616,0.004974842071533203,MotionGenStatus.IK_FAIL,0,,,,,,False
curobo,cluttered,14,1,42,False,0.007916299000498839,0.0049822330474853516,MotionGenStatus.IK_FAIL,0,,,,,,False
curobo,cluttered,14,2,42,False,0.00782172501203604,0.0049784183502197266,MotionGenStatus.IK_FAIL,0,,,,,,False
curobo,cluttered,15,0,42,True,0.054418190993601456,0.04328560829162598,,70,4.3227366439914015,0.5613131718761017,0.6553194126969647,680.3031404377757,0.11250000000000002,True
curobo,cluttered,15,1,42,True,0.055098438999266364,0.04403972625732422,,88,5.200407086617056,1.3255311916447186,2.5424510736683996,2287.9270088250364,0.11250000000000002,True
curobo,cluttered,15,2,42,True,0.054402559995651245,0.04310345649719238,,81,4.649258243309614,0.5412942337701581,5.967780844887179,1265.0609109658403,0.11250000000000002,True
curobo,cluttered,16,0,42,True,0.054908733000047505,0.04341292381286621,,74,4.287586157716657,1.5209540804763637,1.179462522540773,756.6618897615042,-0.09807420037437167,False
