scenario,planner,success_rate,planning_time_median,planning_time_mean,joint_len_median,cartesian_len_median,smoothness_median,clearance_median,n_solved
cluttered,curobo,0.85,0.05619351950008422,0.056118162235447126,3.810208698805484,1.0874685365159165,2.0785639145418475,0.05794492287853503,34
cluttered,moveit:BITstar,0.98,0.022721937497408362,0.024446664101931824,6.156977596293557,1.0395892965995004,1.657774955968126e-12,0.021772879284045928,196
cluttered,moveit:EST,0.985,0.029570177997811697,0.0328351814465433,6.142597354812802,1.0395892965995008,1.4702469843483193e-12,0.026363898460812385,197
cluttered,moveit:KPIECE,0.965,0.03497811900160741,0.039191228502369405,6.142597354812801,1.0395892965995004,1.6970890445155191e-12,0.005703753044848922,193
cluttered,moveit:PRM,0.97,0.015760887497890508,0.026554096401970626,6.236296878805229,1.0395892965995004,1.2692151104216123e-12,0.0004206819837602807,194
cluttered,moveit:RRT,0.985,0.024046973005170003,0.03647330921342884,6.142597354812803,1.0395892965995004,2.6151971912072417e-12,0.0006500523959116628,197
cluttered,moveit:RRTConnect,0.995,0.021855240003787912,0.02437364285949696,6.236296878805229,1.0395892965995008,3.147718069486282e-12,0.038161105075606785,199
empty,curobo,0.95,0.054895351498998934,0.054925897789967405,3.779115990216856,1.213522736075626,2.576873713845586,inf,38
empty,moveit:BITstar,0.995,0.020392759004607797,0.021404507738741668,5.292203264374581,1.6723600017465006,2.9519290713315055e-13,inf,199
empty,moveit:EST,1.0,0.0318314680007461,0.03529204577997007,5.341965924760315,1.6723600017465006,3.2260052675072343e-13,inf,200
empty,moveit:KPIECE,1.0,0.03937944050267106,0.044475396875095614,5.341965924760315,1.7346262459434731,2.732788580776012e-13,inf,200
empty,moveit:PRM,1.0,0.015233502501359908,0.01757238572488859,5.341965924760315,1.6723600017465006,2.7554604652845526e-13,inf,200
empty,moveit:RRT,0.995,0.022806829001638107,0.04056316043196735,5.292203264374581,1.6723600017465006,2.9508704533781526e-13,inf,199
empty,moveit:RRTConnect,0.995,0.02011205600138055,0.021288424698418316,5.292203264374581,1.6723600017465006,3.2673881559110993e-13,inf,199
narrow_passage,curobo,0.75,0.057764806999330176,0.0574299974340344,4.171667211961674,1.1838444503001995,4.776261274408299,0.11003897340609146,30
narrow_passage,moveit:BITstar,1.0,0.020736204998684116,0.022238328124840338,5.646707210284793,1.1931531163955258,6.027437252877937e-13,0.04656968489625052,200
narrow_passage,moveit:EST,1.0,0.028303137001785217,0.030264353835082147,5.646707210284793,1.1931531163955258,5.476781786778739e-13,0.04656968489625046,200
narrow_passage,moveit:KPIECE,0.995,0.030004579995875247,0.032072628170749684,5.4988009833592235,1.1706140608121542,5.756825288342293e-13,0.059287190904183024,199
narrow_passage,moveit:PRM,0.995,0.015224556002067402,0.023334182346583084,5.4988009833592235,1.1706140608121547,6.481570730757444e-13,0.052813534033015044,199
narrow_passage,moveit:RRT,0.99,0.021162169501621975,0.024806433777981016,5.4988009833592235,1.1706140608121542,5.809635087196575e-13,0.05928719090418311,198
narrow_passage,moveit:RRTConnect,0.995,0.02007290199981071,0.021739384215934982,5.498800983359224,1.1706140608121545,5.701843191363935e-13,0.04656968489625049,199
shelf,curobo,0.625,0.05693338800483616,0.05744777687999886,4.11872838128026,0.8305281636853984,2.611465680156948,-0.00879247430770675,25
shelf,moveit:BITstar,0.97,0.02299879649945069,0.02567633714416027,6.210198083250363,1.1674070204108649,5.144539468543378e-12,-0.06769172797669736,194
shelf,moveit:EST,0.945,0.03112396100186743,0.03813800061409234,6.054744692618104,1.1173102641678117,4.900404067793438e-12,-0.06769172797669736,189
shelf,moveit:KPIECE,0.94,0.032535376001760596,0.04507387146812571,6.054744692618104,1.09607214266918,2.3959229514687665e-12,-0.0674787443761402,188
shelf,moveit:PRM,0.97,0.016414811001595808,0.03483446106711011,6.054744692618106,1.1222452746551321,3.5453464365913445e-12,-0.06769172797669736,194
shelf,moveit:RRT,0.965,0.023406489999615587,0.07509645807739725,6.0547446926181046,1.1391201518896268,4.5805081624807365e-12,-0.06769172797669736,193
shelf,moveit:RRTConnect,0.95,0.023151828998379642,0.02480658601079516,6.0547446926181046,1.09607214266918,3.577548413178823e-12,-0.060329888778770456,190
single_box,curobo,0.75,0.05637064700204064,0.05654509189989767,3.990870003632436,1.0306483670977205,3.126852121243658,0.09020547102264126,30
single_box,moveit:BITstar,0.995,0.019749813996895682,0.021291982778837967,5.545140581464357,1.001868923013625,3.5623980640906454e-13,0.07008122066973235,199
single_box,moveit:EST,0.995,0.027084467001259327,0.02869280037655461,5.545140581464356,1.001868923013625,3.6555420737347606e-13,0.07008122066973235,199
single_box,moveit:KPIECE,0.995,0.029727392000495456,0.031431156507233715,5.545140581464356,1.001868923013625,3.6380153197155777e-13,0.07008122066973235,199
single_box,moveit:PRM,0.99,0.014819618500041543,0.020243612267663455,5.545140581464356,1.001868923013625,3.786705017872667e-13,0.07008122066973235,198
single_box,moveit:RRT,1.0,0.02087625649801339,0.024483699550037274,5.5502099048013935,1.021725522075263,5.642779801057959e-13,0.06620940499590366,200
single_box,moveit:RRTConnect,1.0,0.019787769499089336,0.021227113454842766,5.5502099048013935,1.021725522075263,4.2432532693964326e-13,0.06620940499590366,200
table_pick,curobo,0.85,0.05546011850310606,0.05540685508865007,3.958499486590624,0.7627068502699161,1.8269606218040069,0.11250000000000002,34
table_pick,moveit:BITstar,0.995,0.019858671999827493,0.02038248916564336,5.794613437210363,1.2156921719788976,2.948235069895988e-13,0.11250000000000002,199
table_pick,moveit:EST,1.0,0.02740813150376198,0.02934841698501259,5.968605396011582,1.2156921719788976,3.2501045284969083e-13,0.11250000000000002,200
table_pick,moveit:KPIECE,1.0,0.02878372449777089,0.030231101710087388,5.968605396011582,1.2355656198684213,3.547313093559319e-13,0.11250000000000002,200
table_pick,moveit:PRM,1.0,0.015098897500138264,0.01679250251971098,5.968605396011582,1.2156921719788976,3.516195294797003e-13,0.11250000000000002,200
table_pick,moveit:RRT,1.0,0.02015200499590719,0.022861910440187785,5.968605396011582,1.2156921719788976,3.372273813929878e-13,0.11250000000000002,200
table_pick,moveit:RRTConnect,1.0,0.020077279998076847,0.02043932243497693,5.968605396011582,1.2156921719788976,3.0981567012490455e-13,0.11250000000000002,200
